Padre	Madre	Hijos	Orden de Nacimiento	Género Hijos	Lugar de nacimiento	Significado del Nombre (Padre)	Referencia	Información Adicional	Notas
Hananías		Arnán; su	4	M			1 Crónicas 4		Sentencia 109: E hijos de Hananías: Pelatías y Jesaías; su hijo, Refaías; su hijo, Arnán; su hijo, Abdías; su hijo,
Hananías		Abdías; su	5	M			1 Crónicas 4		Sentencia 109: E hijos de Hananías: Pelatías y Jesaías; su hijo, Refaías; su hijo, Arnán; su hijo, Abdías; su hijo,
Hananías		Secanías	6	M			1 Crónicas 4		Sentencia 109: E hijos de Hananías: Pelatías y Jesaías; su hijo, Refaías; su hijo, Arnán; su hijo, Abdías; su hijo,
Semaías		Hatús	1	M			1 Crónicas 4		Sentencia 110: Hijo de Secanías fue Semaías; e hijos de Semaías: Hatús, Igal, Barías, Nearías, Sofet y Safat: seis
Semaías		Igal	2	M			1 Crónicas 4		Sentencia 110: Hijo de Secanías fue Semaías; e hijos de Semaías: Hatús, Igal, Barías, Nearías, Sofet y Safat: seis
Semaías		Barías	3	M			1 Crónicas 4		Sentencia 110: Hijo de Secanías fue Semaías; e hijos de Semaías: Hatús, Igal, Barías, Nearías, Sofet y Safat: seis
Semaías		Nearías	4	M			1 Crónicas 4		Sentencia 110: Hijo de Secanías fue Semaías; e hijos de Semaías: Hatús, Igal, Barías, Nearías, Sofet y Safat: seis
Semaías		Sofet	5	M			1 Crónicas 4		Sentencia 110: Hijo de Secanías fue Semaías; e hijos de Semaías: Hatús, Igal, Barías, Nearías, Sofet y Safat: seis
Semaías		Safat: seis	6	M			1 Crónicas 4		Sentencia 110: Hijo de Secanías fue Semaías; e hijos de Semaías: Hatús, Igal, Barías, Nearías, Sofet y Safat: seis
Nearías fueron estos tres		Elioenai	1	M			1 Crónicas 4		Sentencia 111: Hijos de Nearías fueron estos tres: Elioenai, Ezequías y Azricam
Nearías fueron estos tres		Ezequías	2	M			1 Crónicas 4		Sentencia 111: Hijos de Nearías fueron estos tres: Elioenai, Ezequías y Azricam
Nearías fueron estos tres		Azricam	3	M			1 Crónicas 4		Sentencia 111: Hijos de Nearías fueron estos tres: Elioenai, Ezequías y Azricam
Elioenai fueron estos siete		Hodavías	1	M			1 Crónicas 4		Sentencia 112: Hijos de Elioenai fueron estos siete: Hodavías, Eliasib, Pelaías, Acub, Johanán, Dalaías y Anani
Elioenai fueron estos siete		Eliasib	2	M			1 Crónicas 4		Sentencia 112: Hijos de Elioenai fueron estos siete: Hodavías, Eliasib, Pelaías, Acub, Johanán, Dalaías y Anani
Elioenai fueron estos siete		Pelaías	3	M			1 Crónicas 4		Sentencia 112: Hijos de Elioenai fueron estos siete: Hodavías, Eliasib, Pelaías, Acub, Johanán, Dalaías y Anani
Elioenai fueron estos siete		Acub	4	M			1 Crónicas 4		Sentencia 112: Hijos de Elioenai fueron estos siete: Hodavías, Eliasib, Pelaías, Acub, Johanán, Dalaías y Anani
Elioenai fueron estos siete		Johanán	5	M			1 Crónicas 4		Sentencia 112: Hijos de Elioenai fueron estos siete: Hodavías, Eliasib, Pelaías, Acub, Johanán, Dalaías y Anani
Elioenai fueron estos siete		Dalaías	6	M			1 Crónicas 4		Sentencia 112: Hijos de Elioenai fueron estos siete: Hodavías, Eliasib, Pelaías, Acub, Johanán, Dalaías y Anani
Elioenai fueron estos siete		Anani	7	M			1 Crónicas 4		Sentencia 112: Hijos de Elioenai fueron estos siete: Hodavías, Eliasib, Pelaías, Acub, Johanán, Dalaías y Anani
Judá		Hezrón	2	M	Padan-aram (padre)	Alabado sea Dios / Celebrado	1 Crónicas 4 [Cruces: Judá: Génesis 29:35, Cap 38, Cap 44, 49:8-12; Hebreos 7:14; Apocalipsis 5:5; Mateo 1:2-3]	Sobre el padre (Judá): Cuarto hijo de Jacob y Lea; de su línea proviene el rey David y Jesucristo (el León de la tribu de Judá).	Sentencia 113: Hijos de Judá: Fares, Hezrón, Carmi, Hur y Sobal
Judá		Carmi	3	M	Padan-aram (padre)	Alabado sea Dios / Celebrado	1 Crónicas 4 [Cruces: Judá: Génesis 29:35, Cap 38, Cap 44, 49:8-12; Hebreos 7:14; Apocalipsis 5:5; Mateo 1:2-3]	Sobre el padre (Judá): Cuarto hijo de Jacob y Lea; de su línea proviene el rey David y Jesucristo (el León de la tribu de Judá).	Sentencia 113: Hijos de Judá: Fares, Hezrón, Carmi, Hur y Sobal
Judá		Hur	4	M	Padan-aram (padre)	Alabado sea Dios / Celebrado	1 Crónicas 4 [Cruces: Judá: Génesis 29:35, Cap 38, Cap 44, 49:8-12; Hebreos 7:14; Apocalipsis 5:5; Mateo 1:2-3]	Sobre el padre (Judá): Cuarto hijo de Jacob y Lea; de su línea proviene el rey David y Jesucristo (el León de la tribu de Judá).	Sentencia 113: Hijos de Judá: Fares, Hezrón, Carmi, Hur y Sobal
Judá		Sobal	5	M	Padan-aram (padre)	Alabado sea Dios / Celebrado	1 Crónicas 4 [Cruces: Judá: Génesis 29:35, Cap 38, Cap 44, 49:8-12; Hebreos 7:14; Apocalipsis 5:5; Mateo 1:2-3]	Sobre el padre (Judá): Cuarto hijo de Jacob y Lea; de su línea proviene el rey David y Jesucristo (el León de la tribu de Judá).	Sentencia 113: Hijos de Judá: Fares, Hezrón, Carmi, Hur y Sobal
Reaía		Jahat		M			1 Crónicas 4		Sentencia 114: Reaía hijo de Sobal engendró a Jahat, y Jahat engendró a Ahumai y a Lahad
Jahat		Ahumai		M			1 Crónicas 4		Sentencia 114: Reaía hijo de Sobal engendró a Jahat, y Jahat engendró a Ahumai y a Lahad
Esta es la estirpe de Etam: Jezreel		Isma		M			1 Crónicas 4		Sentencia 116: Linaje de Esta es la estirpe de Etam: Jezreel
Isma		Ibdas	1	M			1 Crónicas 4		Sentencia 116: Hijo de Isma
Isma		nombre de	2	M			1 Crónicas 4		Sentencia 116: Hijo de Isma
Efrata		Bet		M			1 Crónicas 4		Sentencia 118: Tales fueron los hijos de Hur primogénito de Efrata, padre de Bet-Léjem
Asur		Tecoa		M			1 Crónicas 4		Sentencia 119: Asur, padre de Tecoa, tuvo dos mujeres: Hela y Naara
Asur	Naara	Ahuzam	1	M			1 Crónicas 4		Sentencia 120: Y Naara dio a luz a Ahuzam, Hefer, Temeni y Ahastari
Asur	Naara	Hefer	2	M			1 Crónicas 4		Sentencia 120: Y Naara dio a luz a Ahuzam, Hefer, Temeni y Ahastari
Asur	Naara	Temeni	3	M			1 Crónicas 4		Sentencia 120: Y Naara dio a luz a Ahuzam, Hefer, Temeni y Ahastari
Asur	Naara	Ahastari	4	M			1 Crónicas 4		Sentencia 120: Y Naara dio a luz a Ahuzam, Hefer, Temeni y Ahastari
Asur	Hela	Zeret	1	M			1 Crónicas 4		Sentencia 122: Los hijos de Hela: Zeret, Jezoar, Etnán y Cos, el cual engendró a Anub, a Zobeba, y la familia de Ah
Asur	Hela	Jezoar	2	M			1 Crónicas 4		Sentencia 122: Los hijos de Hela: Zeret, Jezoar, Etnán y Cos, el cual engendró a Anub, a Zobeba, y la familia de Ah
Asur	Hela	Etnán	3	M			1 Crónicas 4		Sentencia 122: Los hijos de Hela: Zeret, Jezoar, Etnán y Cos, el cual engendró a Anub, a Zobeba, y la familia de Ah
Asur	Hela	Cos	4	M			1 Crónicas 4		Sentencia 122: Los hijos de Hela: Zeret, Jezoar, Etnán y Cos, el cual engendró a Anub, a Zobeba, y la familia de Ah
Asur	Hela	el cual engendró a Anub	5	M			1 Crónicas 4		Sentencia 122: Los hijos de Hela: Zeret, Jezoar, Etnán y Cos, el cual engendró a Anub, a Zobeba, y la familia de Ah
Asur	Hela	a Zobeba	6	M			1 Crónicas 4		Sentencia 122: Los hijos de Hela: Zeret, Jezoar, Etnán y Cos, el cual engendró a Anub, a Zobeba, y la familia de Ah
Asur	Hela	familia de Aharhel	7	M			1 Crónicas 4		Sentencia 122: Los hijos de Hela: Zeret, Jezoar, Etnán y Cos, el cual engendró a Anub, a Zobeba, y la familia de Ah
E invocó Jabes al Elohim de Israel diciendo: ¡Oh		si me dieras bendición		M			1 Crónicas 4		Sentencia 124: Linaje de E invocó Jabes al Elohim de Israel diciendo: ¡Oh
si me dieras bendición		ensancharas mi territorio		M			1 Crónicas 4		Sentencia 124: Linaje de si me dieras bendición
ensancharas mi territorio		si tu mano estuviera conmigo		M			1 Crónicas 4		Sentencia 124: Linaje de ensancharas mi territorio
si tu mano estuviera conmigo		me libraras del mal	1	M			1 Crónicas 4		Sentencia 124: Hijo de si tu mano estuviera conmigo
si tu mano estuviera conmigo		para que no me dañe! Y Elohim le concedió lo que había pedido	2	M			1 Crónicas 4		Sentencia 124: Hijo de si tu mano estuviera conmigo
Quelub hermano de Súa		Mehir		M			1 Crónicas 4		Sentencia 125: Quelub hermano de Súa engendró a Mehir, el cual fue padre de Estón
Tehina		Ir		M			1 Crónicas 4		Sentencia 126: Y Estón engendró a Bet-Rafa, a Paseah, y a Tehina, padre de Ir-Nahas
Cenaz		Otoniel	1	M			1 Crónicas 4		Sentencia 128: Hijos de Cenaz: Otoniel y Seraías
Cenaz		Seraías	2	M			1 Crónicas 4		Sentencia 128: Hijos de Cenaz: Otoniel y Seraías
Otoniel		Hatat	1	M			1 Crónicas 4		Sentencia 129: Hijos de Otoniel: Hatat y Meonotai, el cual engendró a Ofra; y Seraías engendró a Joab, padre de los
Otoniel		Meonotai	2	M			1 Crónicas 4		Sentencia 129: Hijos de Otoniel: Hatat y Meonotai, el cual engendró a Ofra; y Seraías engendró a Joab, padre de los
Otoniel		el cual engendró a Ofra	3	M			1 Crónicas 4		Sentencia 129: Hijos de Otoniel: Hatat y Meonotai, el cual engendró a Ofra; y Seraías engendró a Joab, padre de los
Otoniel		Seraías engendró a Joab	4	M			1 Crónicas 4		Sentencia 129: Hijos de Otoniel: Hatat y Meonotai, el cual engendró a Ofra; y Seraías engendró a Joab, padre de los
Otoniel		porque fueron artesanos	5	M			1 Crónicas 4		Sentencia 129: Hijos de Otoniel: Hatat y Meonotai, el cual engendró a Ofra; y Seraías engendró a Joab, padre de los
Caleb		Iru	1	M	Egipto (padre)	Perro, audaz, impetuoso o fiel	1 Crónicas 4 [Cruces: Caleb: Números 13:6, 14:24-38; Josué 14:6-15]	Sobre el padre (Caleb): Espía fiel de la tribu de Judá que confió en Dios; recibió Hebrón como herencia por su fe.	Sentencia 130: Hijos de Caleb ben Jefone: Iru, Ela y Naam; e hijo de Ela fue Cenaz
Caleb		Ela	2	M	Egipto (padre)	Perro, audaz, impetuoso o fiel	1 Crónicas 4 [Cruces: Caleb: Números 13:6, 14:24-38; Josué 14:6-15]	Sobre el padre (Caleb): Espía fiel de la tribu de Judá que confió en Dios; recibió Hebrón como herencia por su fe.	Sentencia 130: Hijos de Caleb ben Jefone: Iru, Ela y Naam; e hijo de Ela fue Cenaz
Caleb		Naam	3	M	Egipto (padre)	Perro, audaz, impetuoso o fiel	1 Crónicas 4 [Cruces: Caleb: Números 13:6, 14:24-38; Josué 14:6-15]	Sobre el padre (Caleb): Espía fiel de la tribu de Judá que confió en Dios; recibió Hebrón como herencia por su fe.	Sentencia 130: Hijos de Caleb ben Jefone: Iru, Ela y Naam; e hijo de Ela fue Cenaz
Caleb		Ela fue Cenaz	4	M	Egipto (padre)	Perro, audaz, impetuoso o fiel	1 Crónicas 4 [Cruces: Caleb: Números 13:6, 14:24-38; Josué 14:6-15]	Sobre el padre (Caleb): Espía fiel de la tribu de Judá que confió en Dios; recibió Hebrón como herencia por su fe.	Sentencia 130: Hijos de Caleb ben Jefone: Iru, Ela y Naam; e hijo de Ela fue Cenaz
Esdras		Jeter	1	M			1 Crónicas 4		Sentencia 132: Hijos de Esdras: Jeter, Mered, Efer y Jalón
Esdras		Mered	2	M			1 Crónicas 4		Sentencia 132: Hijos de Esdras: Jeter, Mered, Efer y Jalón
Esdras		Efer	3	M			1 Crónicas 4		Sentencia 132: Hijos de Esdras: Jeter, Mered, Efer y Jalón
Esdras		Jalón	4	M			1 Crónicas 4		Sentencia 132: Hijos de Esdras: Jeter, Mered, Efer y Jalón
Isba		Estemoa		M			1 Crónicas 5		Sentencia 133: Y ella concibió a Miriam, a Samai y a Isba, padre de Estemoa
Isba	Jehudaía	Jered	1	M			1 Crónicas 5		Sentencia 134: Y su mujer Jehudaía dio a luz a Jered padre de Gedor, a Heber padre de Soco y a Jecutiel padre de Za
Simón		Amnón	1	M			1 Crónicas 5		Sentencia 137: Hijos de Simón: Amnón, Rina, Ben-Hanán y Tilón
Simón		Rina	2	M			1 Crónicas 5		Sentencia 137: Hijos de Simón: Amnón, Rina, Ben-Hanán y Tilón
Simón		Tilón	3	M			1 Crónicas 5		Sentencia 137: Hijos de Simón: Amnón, Rina, Ben-Hanán y Tilón
Isi		Zohet	1	M			1 Crónicas 5		Sentencia 138: Hijos de Isi: Zohet y Benzohet
Isi		Benzohet	2	M			1 Crónicas 5		Sentencia 138: Hijos de Isi: Zohet y Benzohet
Sela		Er	1	M			1 Crónicas 5		Sentencia 139: Hijos de Sela ben Judá: Er, padre de Leca, y Laada, padre de Maresa, y las familias de los que traba
Sela		Laada	2	M			1 Crónicas 5		Sentencia 139: Hijos de Sela ben Judá: Er, padre de Leca, y Laada, padre de Maresa, y las familias de los que traba
Sela		familias de los que trabajan lino en Bet-Asbea	3	M			1 Crónicas 5		Sentencia 139: Hijos de Sela ben Judá: Er, padre de Leca, y Laada, padre de Maresa, y las familias de los que traba
Sela		Joacim	4	M			1 Crónicas 5		Sentencia 139: Hijos de Sela ben Judá: Er, padre de Leca, y Laada, padre de Maresa, y las familias de los que traba
Sela		varones de Cozeba	5	M			1 Crónicas 5		Sentencia 139: Hijos de Sela ben Judá: Er, padre de Leca, y Laada, padre de Maresa, y las familias de los que traba
Sela		Joás	6	M			1 Crónicas 5		Sentencia 139: Hijos de Sela ben Judá: Er, padre de Leca, y Laada, padre de Maresa, y las familias de los que traba
Sela		Saraf	7	M			1 Crónicas 5		Sentencia 139: Hijos de Sela ben Judá: Er, padre de Leca, y Laada, padre de Maresa, y las familias de los que traba
Sela		los cuales dominaron en Moab	8	M			1 Crónicas 5		Sentencia 139: Hijos de Sela ben Judá: Er, padre de Leca, y Laada, padre de Maresa, y las familias de los que traba
Sela		volvieron a Léhem	9	M			1 Crónicas 5		Sentencia 139: Hijos de Sela ben Judá: Er, padre de Leca, y Laada, padre de Maresa, y las familias de los que traba
Sela		según registros  antiguos	10	M			1 Crónicas 5		Sentencia 139: Hijos de Sela ben Judá: Er, padre de Leca, y Laada, padre de Maresa, y las familias de los que traba
Estos eran alfareros		habitaban en medio de plantíos		M			1 Crónicas 5		Sentencia 140: Linaje de Estos eran alfareros
habitaban en medio de plantíos		cercados		M			1 Crónicas 5		Sentencia 140: Linaje de habitaban en medio de plantíos
cercados		cerca del rey	1	M			1 Crónicas 5		Sentencia 140: Hijo de cercados
cercados		ocupados en su servicio	2	M			1 Crónicas 5		Sentencia 140: Hijo de cercados
Simeón		Nemuel	1	M	Padan-aram (padre)	Dios ha oído	1 Crónicas 5 [Cruces: Simeón: Génesis 29:33, 34:25-30, 49:5-7]	Sobre el padre (Simeón): Segundo hijo de Jacob y Lea; lideró la venganza contra Siquem junto a Leví.	Sentencia 141: Hijos de Simeón: Nemuel, Jamín, Jarib, Zera, Saúl, y Salum su hijo, Mibsam su hijo y Misma su hijo
Simeón		Jamín	2	M	Padan-aram (padre)	Dios ha oído	1 Crónicas 5 [Cruces: Simeón: Génesis 29:33, 34:25-30, 49:5-7]	Sobre el padre (Simeón): Segundo hijo de Jacob y Lea; lideró la venganza contra Siquem junto a Leví.	Sentencia 141: Hijos de Simeón: Nemuel, Jamín, Jarib, Zera, Saúl, y Salum su hijo, Mibsam su hijo y Misma su hijo
Simeón		Jarib	3	M	Padan-aram (padre)	Dios ha oído	1 Crónicas 5 [Cruces: Simeón: Génesis 29:33, 34:25-30, 49:5-7]	Sobre el padre (Simeón): Segundo hijo de Jacob y Lea; lideró la venganza contra Siquem junto a Leví.	Sentencia 141: Hijos de Simeón: Nemuel, Jamín, Jarib, Zera, Saúl, y Salum su hijo, Mibsam su hijo y Misma su hijo
Simeón		Zera	4	M	Padan-aram (padre)	Dios ha oído	1 Crónicas 5 [Cruces: Simeón: Génesis 29:33, 34:25-30, 49:5-7]	Sobre el padre (Simeón): Segundo hijo de Jacob y Lea; lideró la venganza contra Siquem junto a Leví.	Sentencia 141: Hijos de Simeón: Nemuel, Jamín, Jarib, Zera, Saúl, y Salum su hijo, Mibsam su hijo y Misma su hijo
Simeón		Saúl	5	M	Padan-aram (padre)	Dios ha oído	1 Crónicas 5 [Cruces: Simeón: Génesis 29:33, 34:25-30, 49:5-7]	Sobre el padre (Simeón): Segundo hijo de Jacob y Lea; lideró la venganza contra Siquem junto a Leví.	Sentencia 141: Hijos de Simeón: Nemuel, Jamín, Jarib, Zera, Saúl, y Salum su hijo, Mibsam su hijo y Misma su hijo
Simeón		Salum su	6	M	Padan-aram (padre)	Dios ha oído	1 Crónicas 5 [Cruces: Simeón: Génesis 29:33, 34:25-30, 49:5-7]	Sobre el padre (Simeón): Segundo hijo de Jacob y Lea; lideró la venganza contra Siquem junto a Leví.	Sentencia 141: Hijos de Simeón: Nemuel, Jamín, Jarib, Zera, Saúl, y Salum su hijo, Mibsam su hijo y Misma su hijo
Simeón		Mibsam su	7	M	Padan-aram (padre)	Dios ha oído	1 Crónicas 5 [Cruces: Simeón: Génesis 29:33, 34:25-30, 49:5-7]	Sobre el padre (Simeón): Segundo hijo de Jacob y Lea; lideró la venganza contra Siquem junto a Leví.	Sentencia 141: Hijos de Simeón: Nemuel, Jamín, Jarib, Zera, Saúl, y Salum su hijo, Mibsam su hijo y Misma su hijo
Simeón		Misma su	8	M	Padan-aram (padre)	Dios ha oído	1 Crónicas 5 [Cruces: Simeón: Génesis 29:33, 34:25-30, 49:5-7]	Sobre el padre (Simeón): Segundo hijo de Jacob y Lea; lideró la venganza contra Siquem junto a Leví.	Sentencia 141: Hijos de Simeón: Nemuel, Jamín, Jarib, Zera, Saúl, y Salum su hijo, Mibsam su hijo y Misma su hijo
Misma		Hamuel su	1	M			1 Crónicas 5		Sentencia 142: Hijos de Misma: Hamuel su hijo, Zacur su hijo, y Simei su hijo
Misma		Zacur su	2	M			1 Crónicas 5		Sentencia 142: Hijos de Misma: Hamuel su hijo, Zacur su hijo, y Simei su hijo
Misma		Simei su	3	M			1 Crónicas 5		Sentencia 142: Hijos de Misma: Hamuel su hijo, Zacur su hijo, y Simei su hijo
Estas son las moradas de ellos		su genealogía	1	M			1 Crónicas 5		Sentencia 146: Hijo de Estas son las moradas de ellos
llegaron hasta la entrada de Gedor hasta el oriente del valle		en busca de pastos para sus ganados	1	M			1 Crónicas 5		Sentencia 149: Hijo de llegaron hasta la entrada de Gedor hasta el oriente del valle
hallaron pastos buenos		abundantes		M			1 Crónicas 5		Sentencia 150: Linaje de hallaron pastos buenos
abundantes		tierra era muy espaciosa		M			1 Crónicas 5		Sentencia 150: Linaje de abundantes
tierra era muy espaciosa		tranquila		M			1 Crónicas 5		Sentencia 150: Linaje de tierra era muy espaciosa
tranquila		apacible	1	M			1 Crónicas 5		Sentencia 150: Hijo de tranquila
tranquila		porque los de Cam la habían habitado anteriormente	2	M			1 Crónicas 5		Sentencia 150: Hijo de tranquila
estos que han sido escritos por sus nombres		vinieron en días de Ezequías rey de Judá		M			1 Crónicas 5		Sentencia 151: Linaje de estos que han sido escritos por sus nombres
vinieron en días de Ezequías rey de Judá		destruyeron las tiendas		M			1 Crónicas 5		Sentencia 151: Linaje de vinieron en días de Ezequías rey de Judá
destruyeron las tiendas		cabañas que hallaron allí		M			1 Crónicas 5		Sentencia 151: Linaje de destruyeron las tiendas
cabañas que hallaron allí		dedicaron al exterminio hasta hoy		M			1 Crónicas 5		Sentencia 151: Linaje de cabañas que hallaron allí
dedicaron al exterminio hasta hoy		habitaron allí en lugar de ellos	1	M			1 Crónicas 5		Sentencia 151: Hijo de dedicaron al exterminio hasta hoy
dedicaron al exterminio hasta hoy		por cuanto allí había pastos para sus ganados	2	M			1 Crónicas 5		Sentencia 151: Hijo de dedicaron al exterminio hasta hoy
Joel		Semaías su	1	M			1 Crónicas 6		Sentencia 155: Hijos de Joel: Semaías su hijo, Gog su hijo, Simei su hijo, Micaía su hijo, Reaía su hijo, Baal su h
Joel		Gog su	2	M			1 Crónicas 6		Sentencia 155: Hijos de Joel: Semaías su hijo, Gog su hijo, Simei su hijo, Micaía su hijo, Reaía su hijo, Baal su h
Joel		Simei su	3	M			1 Crónicas 6		Sentencia 155: Hijos de Joel: Semaías su hijo, Gog su hijo, Simei su hijo, Micaía su hijo, Reaía su hijo, Baal su h
Joel		Micaía su	4	M			1 Crónicas 6		Sentencia 155: Hijos de Joel: Semaías su hijo, Gog su hijo, Simei su hijo, Micaía su hijo, Reaía su hijo, Baal su h
Joel		Reaía su	5	M			1 Crónicas 6		Sentencia 155: Hijos de Joel: Semaías su hijo, Gog su hijo, Simei su hijo, Micaía su hijo, Reaía su hijo, Baal su h
Joel		Baal su	6	M			1 Crónicas 6		Sentencia 155: Hijos de Joel: Semaías su hijo, Gog su hijo, Simei su hijo, Micaía su hijo, Reaía su hijo, Baal su h
Joel		Beera	7	M			1 Crónicas 6		Sentencia 155: Hijos de Joel: Semaías su hijo, Gog su hijo, Simei su hijo, Micaía su hijo, Reaía su hijo, Baal su h
Joel		quien fue transportado por Tiglat-Pileser rey de Asiria	8	M			1 Crónicas 6		Sentencia 155: Hijos de Joel: Semaías su hijo, Gog su hijo, Simei su hijo, Micaía su hijo, Reaía su hijo, Baal su h
Joel		fue príncipe de los rubenitas	9	M			1 Crónicas 6		Sentencia 155: Hijos de Joel: Semaías su hijo, Gog su hijo, Simei su hijo, Micaía su hijo, Reaía su hijo, Baal su h
Habitó también desde el oriente hasta la entrada del desierto		desde el río Éufrates		M			1 Crónicas 6		Sentencia 158: Habitó también desde el oriente hasta la entrada del desierto es padre de desde el río Éufrates
desde el río Éufrates		porque tenía mucho ganado en la tierra de Galaad		M			1 Crónicas 6		Sentencia 158: desde el río Éufrates es padre de porque tenía mucho ganado en la tierra de Galaad
Pero en tiempo de Saúl hicieron guerra contra los agarenos		los cuales cayeron en su mano	1	M			1 Crónicas 6		Sentencia 159: Hijo de Pero en tiempo de Saúl hicieron guerra contra los agarenos
Pero en tiempo de Saúl hicieron guerra contra los agarenos		ellos habitaron en sus tiendas en toda la región oriental de Galaad	2	M			1 Crónicas 6		Sentencia 159: Hijo de Pero en tiempo de Saúl hicieron guerra contra los agarenos
habitaron en Galaad		en Basán		M			1 Crónicas 6		Sentencia 165: Linaje de habitaron en Galaad
en Basán		en sus aldeas	1	M			1 Crónicas 6		Sentencia 165: Hijo de en Basán
en Basán		en todos los ejidos de Sarón  hasta sus confines	2	M			1 Crónicas 6		Sentencia 165: Hijo de en Basán
Estos tuvieron guerra contra los agarenos		Jetur		M			1 Crónicas 6		Sentencia 168: Linaje de Estos tuvieron guerra contra los agarenos
Jetur		Nafis	1	M			1 Crónicas 6		Sentencia 168: Hijo de Jetur
Jetur		Nodab	2	M			1 Crónicas 6		Sentencia 168: Hijo de Jetur
tomaron sus ganados: cincuenta mil camellos		doscientas cincuenta mil ovejas		M			1 Crónicas 6		Sentencia 170: Linaje de tomaron sus ganados: cincuenta mil camellos
doscientas cincuenta mil ovejas		dos mil asnos	1	M			1 Crónicas 6		Sentencia 170: Hijo de doscientas cincuenta mil ovejas
doscientas cincuenta mil ovejas		además de cien mil personas	2	M			1 Crónicas 6		Sentencia 170: Hijo de doscientas cincuenta mil ovejas
Muchos		pues		M			1 Crónicas 6		Sentencia 171: Muchos es padre de pues
pues		cayeron muertos		M			1 Crónicas 6		Sentencia 171: pues es padre de cayeron muertos
cayeron muertos		porque la batalla era de Ha-Elohim		M			1 Crónicas 6		Sentencia 171: cayeron muertos es padre de porque la batalla era de Ha-Elohim
Estos son los jefes de las casas de sus padres: Efer		Isi		M			1 Crónicas 6		Sentencia 174: Linaje de Estos son los jefes de las casas de sus padres: Efer
Isi		Eliel		M			1 Crónicas 6		Sentencia 174: Linaje de Isi
Eliel		Azriel		M			1 Crónicas 6		Sentencia 174: Linaje de Eliel
Azriel		Jeremías		M			1 Crónicas 6		Sentencia 174: Linaje de Azriel
Jeremías		Hodavías		M			1 Crónicas 6		Sentencia 174: Linaje de Jeremías
Hodavías		Jahdiel		M			1 Crónicas 6		Sentencia 174: Linaje de Hodavías
Jahdiel		hombres valientes		M			1 Crónicas 6		Sentencia 174: Linaje de Jahdiel
hombres valientes		esforzados		M			1 Crónicas 6		Sentencia 174: Linaje de hombres valientes
esforzados		varones de renombre	1	M			1 Crónicas 6		Sentencia 174: Hijo de esforzados
esforzados		jefes de las casas de sus padres	2	M			1 Crónicas 6		Sentencia 174: Hijo de esforzados
Pero se rebelaron contra el Elohim de sus padres		se prostituyeron siguiendo a los dioses de los pueblos de la tierra	1	M			1 Crónicas 6		Sentencia 175: Hijo de Pero se rebelaron contra el Elohim de sus padres
Pero se rebelaron contra el Elohim de sus padres		a los cuales YHVH había quitado de delante de ellos	2	M			1 Crónicas 6		Sentencia 175: Hijo de Pero se rebelaron contra el Elohim de sus padres
Por lo cual el Elohim de Israel excitó el espíritu de Pul		rey de Asiria		M			1 Crónicas 6		Sentencia 176: Linaje de Por lo cual el Elohim de Israel excitó el espíritu de Pul
rey de Asiria		espíritu de Tiglat-Pileser		M			1 Crónicas 6		Sentencia 176: Linaje de rey de Asiria
espíritu de Tiglat-Pileser		rey de Asiria		M			1 Crónicas 6		Sentencia 176: Linaje de espíritu de Tiglat-Pileser
rey de Asiria		el cual transportó a los rubenitas		M			1 Crónicas 6		Sentencia 176: Linaje de rey de Asiria
el cual transportó a los rubenitas		gaditas		M			1 Crónicas 6		Sentencia 176: Linaje de el cual transportó a los rubenitas
gaditas		la media tribu de Manasés		M			1 Crónicas 6		Sentencia 176: Linaje de gaditas
la media tribu de Manasés		llevó a Halah		M			1 Crónicas 6		Sentencia 176: Linaje de la media tribu de Manasés
llevó a Halah		a Habor		M			1 Crónicas 6		Sentencia 176: Linaje de llevó a Halah
a Habor		río Gozán	1	M			1 Crónicas 6		Sentencia 176: Hijo de a Habor
a Habor		hasta hoy	2	M			1 Crónicas 6		Sentencia 176: Hijo de a Habor
Leví		Gersón	1	M	Padan-aram (padre)	Unido, asociado o de mi mano	1 Crónicas 6 [Cruces: Leví: Génesis 29:34, 49:5-7; Éxodo 2; Hebreos 7]	Sobre el padre (Leví): Tercer hijo de Jacob y Lea; su descendencia fue apartada exclusivamente para el servicio del templo.	Sentencia 177: Hijos de Leví: Gersón, Coat y Merari
Leví		Coat	2	M	Padan-aram (padre)	Unido, asociado o de mi mano	1 Crónicas 6 [Cruces: Leví: Génesis 29:34, 49:5-7; Éxodo 2; Hebreos 7]	Sobre el padre (Leví): Tercer hijo de Jacob y Lea; su descendencia fue apartada exclusivamente para el servicio del templo.	Sentencia 177: Hijos de Leví: Gersón, Coat y Merari
Leví		Merari	3	M	Padan-aram (padre)	Unido, asociado o de mi mano	1 Crónicas 6 [Cruces: Leví: Génesis 29:34, 49:5-7; Éxodo 2; Hebreos 7]	Sobre el padre (Leví): Tercer hijo de Jacob y Lea; su descendencia fue apartada exclusivamente para el servicio del templo.	Sentencia 177: Hijos de Leví: Gersón, Coat y Merari
Coat		Amram	1	M			1 Crónicas 6		Sentencia 178: Hijos de Coat: Amram, Izhar, Hebrón y Uziel
Coat		Izhar	2	M			1 Crónicas 6		Sentencia 178: Hijos de Coat: Amram, Izhar, Hebrón y Uziel
Coat		Hebrón	3	M			1 Crónicas 6		Sentencia 178: Hijos de Coat: Amram, Izhar, Hebrón y Uziel
